,댓글
286, 차전은 한명재 목소리로 들어야 최고죠
287,    년의    타이거즈와 지금     년도에    리그에 소속되어 있는    떼껄룩즈는 다른 팀입니다  오해하지 말아주셨으면 합니다 
288,     이 공이 한가운데인걸 처음 알았습니다
289,다시봐도 저땐 잘했다  
290,진짜 레전드       기아
291,두산도 강했음     쉽지 않았던    
292,  이명기가 캐리했네
293,그립다 
294,     한국시리즈  차전 직관갔다가 저거보고 지려버림   처전 끝나고는 솔직히 우승 못할줄 알았는데  차전 보고 우승할거같더라
295, 회말 양현종 올라올 때 개소름
296,두산팬인데 이때 코시가 참 재밌었는데
297,볼때마다 눈물이나네
298,       우승 시즌을 돌아보면 기아는 우승할 수 있는 전력이 아니었음  트레이드      신인  병역  외인이 모두 최고의 결과가 나와서 우승한 거였음  기아 우승은 우주가 돕는다는게 맞는 말임 
299,안치홍이 저렇게 잘할 때도 있었네
300,     타선    실화냐      이런게 거를게 없는 타선이지
301,저때 시즌 기아팀 라인업이 롤로 따지면 담원 전성기였음
302,기아가 우승하는 시즌은 그냥 기아가 우승하는 길로만 가는듯    그 당시에 충분히 견제할만한 강팀이 있는데 상대팀이 그 시즌에는 뭔가    부족한 시즌 
303,양현종이  차전에서 분위기 다 가져왔지
304,버나디나  차전 전까지  할넘는거 미쳤나 진짜              
305, 차전 두산이  이겨더라면 김주형은 팬들한테  욕 진짜  먹었겠지    한두번 실수한게 아니라 거의 매번 실책을 하는 선수 였으니  
306, 차전 버나디나 홈런 포함 되면 더 좋을뻔 했네요  
307,난 그래도 이 시즌보단 그 전시즌이 더 박진감 있었다   
308,이거 몇번째 보냐  생각 날때마다 온다   
309,지금보니 이명기    완벽했네   가서    잘하던데 너무 아깝네  
310,  년 기아 우승가보자
311,  현종은 그냥 뭐 미쳤지
312,이때 재밌었지   
313,어려울게  도 없어 다 살면서 한번쯤은 보고 했던 게임이야  롤뱃 에서 뱃하면서 즐기장
314,어려울게  도 없어 다 살면서 한번쯤은 보고 했던 게임이야  롤뱃 에서 뱃하면서 즐기장
315,  년 기아 우승기원 성지순례
316,어려울게  도 없어 다 살면서 한번쯤은 보고 했던 게임이야  롤뱃 에서 뱃하면서 즐기장
317,역시 기아다
318,김주형  기아팬들한테 진짜로 맞아 죽을 뻔 했다    평생 양현종한테 감사하며 살아야 할듯   
319,우리 강팀이였다
320,  양현종 최고다
321, 롤 뱃 스타  유행이 떨어지질 않네      릐그 메프 각종 스폰빵까지 옴팡지게 재믯네
322,이때 뻘짓하던 김재호가     코시에서는 두산 타선에 핵심이 되었다   
323, 롤 뱃 스타  유행이 떨어지질 않네      릐그 메프 각종 스폰빵까지 옴팡지게 재믯네
324,이때는 진짜 에이스 양현종 그자체였는데
325,이범호 홈런은 소름끼치네      
326,버나디나 그립습니다   
327,   라인업 넘사네
328,진짜 버나디나가 엠비 받앗어야함
329,양현종은 이 때 기가막혔네
330,김윤동이 잘 막아준게 진짜 컸다고 봄  김윤동 아니었으면 우승 못할뻔  
331,쿨타임 돌때마다 보러 옵니다
332,다시한번 열받는다 김주형 악송구
333,진짜  타격  존나쌔네    
334, 롤 뱃 이번 롤드컵 재밋넼    치킨시켜놓고 뱃하면서 즐기자   
335,진짜      년   년 내눈으로  번은봣다     팬보다 낫다
336,갑자기 이런거 올리면        이거 보다가 지금 타선 보면 맘이아프다        명기야        어딨니            후    
337, 롤 뱃 이번 롤드컵 재밋넼    치킨시켜놓고 뱃하면서 즐기자   
338,타이거즈로 갈아탄 제가 좋아할 영상 고맙습니다
339,양현종 볼좋네 두산강타선에 공이 치고올라오네 잘들감
340,    년 시즌도     년처럼 우승으로 가즈아  
341,  년 기대가 됩니다 
342,아닠  중간에     년 한국시리즈     싱크로율    퍼
343,몇번을 봐도 소름이 
344,알고리즘이 이 영상을 지금 보여주는데는 이유가 있다
345,양현종 마무리 아니였음 버나디나가    였음   
346,    년  기아 우승가자   
347,주기적으로 봐야하는 영상임
348,      아 이거 더 재밌는게 뭔지 듣고싶다
349,우아우아  지겨운 나의 같은 일상 반복에 새로운 한줄기 빛이 내려왓따 롤뱃 후후   
350,우아우아  지겨운 나의 같은 일상 반복에 새로운 한줄기 빛이 내려왓따 롤뱃 후후   
351,양현종   년전에 봤는데  아직도있네    
352,저땐 기아가 운빨이 따랐지
353,  양현종은 지렸지
354,타선 디졌다 으으으 그대로 다시보고싶다
355,  시즌 심판 스트존 넓었던 시절이네
356,아니근데 김세현은 도대체 어떻게 딱 저 시즌만 반짝하고 폼이 나락갈수가있지
357,와 기아 저때 타선 뭐야  
358,나지완 때 교차 편집 굳굳   
359,양현종 대박
360,나지완 대타때   년도 영상슬며시 좋았고 
361,떴습니다   마스크 벗었어요  김민식이 이 타구를 잡아냅니다   
362,난아직도 이대형 보호선수를 지정 안한걸 이해할수없다
363,기아  연승 한 거 보고 생각나서 보러왔네용       기아 한국시리즈 간다 기다려라 가을
364,근데 이거 솔직히 양현종 있어서 어느정도 막음 지금은 양현종 미국에 있는데 양현종 이때 없었으면      타이거즈 질 확률이    임
365,올해도 존버한다
366,짐짝 이래서 한국시리즈우승하고  년뒤 방출당했구나 하 저때 이대형 있었으면 대박이었는데   
367,이명기 버나디나는 무적   번에  번 김주찬은 작전이며 돌파구며 그냥 몰찍어어먹어도 맛나는 최고의 양념에        번은 산넘어산에  번에서 쉬어줘야되는데 거기서 존나귀찮게만들고  번은 타격왕    돌아블것구만  
368,애들이 이때 미쳤지 이시즌 신기록 거의 갈아치움   
369,마스크 안쓰던 저시절이 그립구나 언제쯤 다시 마스크 벗고 만원관중들이 육성응원하면서 야구볼날이 올까
370,현종아   올해도 잘 부탁한다 빠져앉지마  
371,이명기 김윤동이 그립다      
372,     소름 
373,      헛스윙 발음 찰지네
374,현종이 보조개 기여워
375,     영원하 돌아오지않을 호남인의 한해
376,갓현종 캐리
377,  년 기아 우승원하면 쏴리질러  
378,양현종한국시리즈에서완봉을해버리네  
379, 차 직관갔는데 졌고   차 예매했는데        차전 승리로 우승해서 끝 
380,     가그립다  
381,선발투수가 마무리로 올라올수도있구나
382,이때 선수들이 진짜 잘했는데 지금은    크흠  
383,    년     년 나지완이 같은구장에서 같은방향으로 홈런을 때리네
384,잠실에도 기아팬 많구나 응원소리   
385,     결국 홈을 밟은 저 선수는     년에      한국 시리즈 상대 팀이었던 두산으로 오게 됩니다      
386,     존 한참 나간거 잡아주는 심판도 대단하다
387,올시즌 강 가자 
388,저땐 선수마다 응원가가 좋아서 좋았는데    지금은 너무 어려워    긴선빈 테스형밖에 노래가 생각 안난다  
389,저때 선발 라인업 다 떠나고 최형우 김선빈 눈에띄네  
390,저때가 그립다  지금 기아는 해도해도 너무한다  투수들 볼질에  타자들 타율 낮고  실책하고  유희관한테  점도 못냈다는게   에휴  올시즌 하는 꼬라지 보면 롯데랑 꼴등경쟁 하겠다  실력이 부족하면 투지라도 있어야 하는데 투지도 없고    
391,진짜 버나디나만한 외인타자 거의없다
392,힐링 
393,    년 기아타이거즈 화이팅 
394,  년 당연 호군단우승 닛시아멘 할렐루야 샬롬 아멘 할렐루야 아멘
395,저때 초딩이였는데 우승하고 학교갔을때 애들 다 기아우승 이야기만 했었는데  
396,  년 기아우승원하신분 소리질러   
397,솔직히 기아를 재밌게 했던 감독은 기태김감독임
398,일단  선발 브룩스 잔류시켰고 형우 내년에도  번해줄테고 나머지 자리들만 보완하면 우승하겠구만   
399,참 타이거즈팬이 힘들기도 한데   왕조시절처럼 연속우승은 못하도   년 넘기기전에 우승은 한번씩 하니까    우승전력 갖추고도   년 넘게 우승못하는 팀도 있으니   
400,기아는 우승이후는  년 동안은 우승못하는   그래도   년 넘게 우승못한 팀도 있어서   
401,최고다
402,     나지완            홈런
403,그나저나 통산   번째 우승인데 한국시리즈 중계하는 캐스터가 우승횟수도 실수하네
404, 차전  회말 원아웃에 만루 뜬공 김선빈 잡으며 뛸래  뛰어볼테면 뛰어봐 쒸  하는 분위기    
405,저때  회 짐주형의 실책은 생각만해도 아찔했다  양현종 아니었음 짐주형 욕 뒤질때까지 먹었지 역시 양현종은 양현종이었다 
406,기아는 왜   년에 우승해서 날 힘들게하는거야     
407,     나지완 평행이론              
408, 할  푼 치고있는 장영석 이우성을 받고 이명기 박준태를 준 기아는 반성해야 될듯
409,와 오늘 스트레스 많은 날인데 간만에 갸뽕에 취해 기분 좋아집니다
410,좋은 영상 감사합니다   
411,겁나 재밌었고
412,  년에도 보고있습니다     
413,나는 기아응원가만들리면 피가끓는다
414,      이거 만약 역전당했으면 짐짝은 살해당했을지도     
415,    년 기아 우승 원하시는분     소리 질러  
416,이거 보면서 결과를 알아도 쫄깃 쫄깃 하네
417,그때 그라인업 개추
418,    시즌 무적  팬분들 우승원하시는분 쏴리질라         
419,어휴   어제 한화한테지고 힐링하로왔습니다             
420,아 방금 두산이랑 해서  회말에 역전 당한거 화병나서 이장면 보러옴
421,연속   득점 이상 경기 시절
422,다시 프로야구 인기가 많이 올라갔으면 합니다  한국 최고야구선수는 누구일까요    선동열 이승엽 박찬호 이종범 류현진 이대호 등   궁금하시면 한번 와주세요  영상 정말 잘 만드시네요  저는 초보인데   좋은 정보 감사합니다 
423,아눈물  난다      찌롱이  나지방    
424,      내 평생 가장 큰소리로 욕한기억    진심 현장에서 앞뒤 좌우 진짜 살벌했다    뭐하고 사냐    짐  
425,솔직히 이때 공격력으로 우승을 못하는게 말이되냐          
426,이게 알고리즘에 뜨는 이유 좀         다들 암울해서 과거나 찾아보고 있는 건갘    
427,     뇌주찬이 브레인주루를 한 순간
428,아 기아 현재 타선하고 비교된다 그립다
429,     년대에는 그냥 또 우승하는갑다 하면서 봤는데      년까지  번 우승한 팀이  이젠   년에 한 번 우승을 하니 참   신인 드래프트 제도가 예전 같았으면 벌써   번은 우승했겠다 싶으면서도   에효 
430,기아라인업 개쩐다
431,나 기아팬인데 앞으로 최소  년정도는 자주들어올거같다 여기
432,      라인업 보소   
433, 차전 양현종 다잡아주는거 실환가
434,양현종은 밉지가않네   
435,    년 기아야구답답해서 들어왓네요      이때가그립읍니다
436,     역시 크보 심판  
437,버나디나 그립다
438,     이게 컸지  
439,이때는   대 으로 지고있어도 진다는 생각이없었는데
440, 차전 지고 분위기 넘어갈거  차전 완봉승이 컸지
441,함덕주는 진짜 왕창갈렸네 김강률도 뭔 이닝을 이리많이먹음    
442,여름에는 풀빌라 바다 겨울에는 스키장 롤 뱃 에서 뱃하고 놀러가야지    
443,저 라인업이 너무 부러운데   
444,내자식 명기야 어딨냐   왜 넘으집에서 밥을먹고있니 맹기야   
445,여름에는 풀빌라 바다 겨울에는 스키장 롤 뱃 에서 뱃하고 놀러가야지    
446,이상하게 이때 좋긴 했는데 박빙이 아니어서 그런가 모르겠는데     년만큼 짜릿하지는 않았음
447,
448, 차전양의지도 끝까지 승부하는거 족간지네요
449,이때는 야구 매일봤는데     
450,주처님 어디 가셨습니까   
451,      현장에서 내 옆에 진짜 어마어마어마어마하게 심한 욕 하던 아저씨 목소리가 지금도 들리는 것 같음  나도 욕이 절로 나왔는데 그아저씨가 한    명치 욕 대신해준 느낌이라 저 미친샠     까지만 나오고 쏙들어감   
452,시리즈전적은  승 패인데 상대가 두산이라  승 패같았던 시리즈 물론  치전빼고는 졸전이라
453,본인이 경기보고 다시 찾아보러온 갸붕이면 개추   
454,빠따가 너무 그립다   
455,기아 라인업 무슨일  한명도 버릴 사람이 없네
456,지금은 두산한테 개밥인데 이럴때가 있었구나  
457,이거 날씨 맞냐 잠깐 밖에 있어도 오돌오돌 이빨 떨린당    롤   뱃   에서 돈따서 잠바사야징
458,  년은 빠따  불펜이였다 누가 더 점수를 많이 내는가
459,아 윤동이 보고싶다     뇬  월  일   
460,기아     년 때 대에에에에에박     기아   현재 승리가 머징   
461,     소름  
462,   암울해서 보러왔다
463,      재밌네          
464,마지막에  사 만루 됐을 때 쫄려 뒤질뻔했는데
465,우주의 기운   
466,다시봐도  차전은 진짜    
467,프사             
468,      윤동     웨얼 아 유    
469,이거라도봐야지  요즘기아야구보면 한숨이   
470,꼭 내가 볼때만 갸가 지더라   흑 그립다아
471,아        월둘째주 기아야구 암울하다 저때가잇엇구나   
472,김주형 악송구는 지금 봐도 개빡치네       
473,현종이 우승하고 메이저로 진출햇어야지
474,      나만 여기 김운동 하는거 중독되녀
475,솔직히  차전  회말때 병살도 가능함   
476,      김선빈   히힛  귀여워    
477,저때 멤버가 몇 안남았네 그리 오래 되지도 않았는데
478,두산 기아에게는 안됨  엘지에겐 극강
479,잘한다
480,기아는 이명기 트레이드 한걸   후회해야됨  이우성 쓰지도 못할거면서 왜 트레이드 했냐 거포 유망주가 아니라 삼진유망주여
481,롤뱃퇴근후 저녁에는 스타뱃 딱 해주고  자기전에는  롤뱃 딱 뱃하고 겜보다 잠들기   
482,롤뱃퇴근후 저녁에는 스타뱃 딱 해주고  자기전에는  롤뱃 딱 뱃하고 겜보다 잠들기   
483,재미있게 보았습니다    
484,기아는 항상 드라마   
485,기아우승  기아우승 
486,솔직히 엠비피 버나디나임     
487,우리끼리 약속하나 해요 첫째 밥잘챙겨먹기 둘째 아프지말기 셋째  롤 뱃  가입해서 돈먹기   
488,우리끼리 약속하나 해요 첫째 밥잘챙겨먹기 둘째 아프지말기 셋째  롤 뱃  가입해서 돈먹기   
489,버나디나 보고싶다
490,물론 쏘주도 조치만   살 먹은 양주한병 도 먹어봐야지 않겠어   롤뱃 에서 돈따서 같이먹장
491,진짜 기아 거를 타선이 없었네         선발도      하고
492,양현종  
493,물론 쏘주도 조치만   살 먹은 양주한병 도 먹어봐야지 않겠어   롤뱃 에서 돈따서 같이먹장
494,      지금 몇년이 지나서 봐도 화딱질나네
495,  년도에도우승했군요 한번할때됐네
496, 차전 빠르게 스킵하는거 저만 웃기나요       
497, 차전인가 저때 경기막판 김주형이 에러해서 경기 넘겨줄뻔 했었지  
498,      이때 리모컨 던졌는데
499,      이때 고의낙구하면 비매인가요  
500,별로 강한팀은 아닌데 외인잘뽑으면   년에 한번씩 우승하는팀
501,이땐 두산 어찌이겼대    년도부터 두산상대  승  패 승률                기록중 
502,기아 우승 주역   김   
503,기아 드가자
504,      다들 이거보려고 들어오신거 아닙니까
505,으 시바 짜릿해
506,버나디나 그립네요  
507,부자는 망해도  년간다더니 기아는 어째   년에  번씩 우승하는고  그래도   년 가까이 우승 못하는 팀도 있는데 그걸 생각하면 다행이다  범호나 주찬이 은퇴는 어쩔수 없다하더라도 치홍이 못잡은거  이명기 트레이드보낸 게 너무 아쉽네  이우성을 계속 지켜보고 있는데 언제 장타력이 폭발할지 아님 불발탄으로 있을 지 참 답답하다 
508,갸뽕이 차오른다  
509,김주형 실수했을때 울 아빠 겁나 욕했는뎈   
510,지금 타선은 진짜 초라하네
511,광주광주광주광주
512,기아 팬들한테는 국뽕급이었음 저때
513,    년 호랑이해에 우승하자  김도영 신인왕도 타고
514,사람들 바글바글하니깐   뭔가 기분이 이상하다   
515,    년에도 보는사람    이번년도에는 우승하자
516,꿈이었다  
517,    
518,김기태때 재미있었다
519,롤 뱃 나이는 하나둘 먹어가고 통장은 하나둘 점점 빠져가고 통장에  한두개 늘리자   
520,이명기 버나디나  안치홍 왜 다버리고 쓸데없는 걸로 채워놨냐고
521,김종국 나가
522,롤 뱃 나이는 하나둘 먹어가고 통장은 하나둘 점점 빠져가고 통장에  한두개 늘리자   
523, 차전때 뒤에 있는 보라색 옷 아재 웰캐 웃김
524,  우승   회  준우승이 없는 타이거즈  언젠간 깨지겠지만 좋네 
525,사실  난 양의지가 엑스맨 자처하고 경기 삑사리내고  고향팀에게 우승선물 기여 한거같다란 갠적인 생각   큰경기서 이런 플레이할 선수가 아닌데   
526,    우승도 가능성있음
527,      버나디아나의 적시타  
528, 년에 한번씩 우승하네   년에 돌아온다
529,나지완 소름   똑같아 그때랑
530,엘지는 언제쯤   해볼까   
531, 년 안에 우승은 하겠지  
532,지금다시보니 이명기가 잘했네    
533,      약재환 잡을때 개꿀
534,최형우 나지완 김선빈 김민식   명남았네 선발라인업중
535,근데 김세현도 잘막아줌    원래 마무리 존나 불안했는데
536,범호 현종      굿
537,이때기아 빠따는 아무도못말렸지
538,기아도 우승한적이 있구나 엘롯기 엘롯기해서 우승은 못해본 구단인줄
539,영상에선 만루홈런 맞았지만 그래도 니느님은 훌륭한 용병이라고 생각됨  인성부터 실력까지  명실공히  년   년정도였나  두산 에이스  상대팀 입장에선 짜증났지만    큰키에 내리꽂는 전통 오버핸드 투수  살발했음 정말    뭐랄까  각팀마다 레전드 투수 나오면  아   졌네 오늘 그런거 있잖아요 그 느낌이 니퍼트였음    으   생각하기 싫다
540,김주형이 개말아 먹을뻔한 경기 
541,편집 굿  
542,이범호 만루홈런 다시 봐도 짜릿하다 불펜이 안좋긴 하네  마무리 김세현 까지 가기까지 실점을 많이 했네
543,김세현 윈나우 트레이드 성공
544,한국시리즈만 가면대는데 그게안대네   가즈아
545,           오늘로부터 기아  연패중   공동  위        
546,저멤버는 못참지  
547,세계  대 불가사의    
548,우리 인욱이 프사를 보니 반갑네요
549, 차전 졌으면 김주형 살아서 못 나왔을듯
550,이게야구지
551,기아 어떻게 우승했는지 궁금하다   기복이 너무 심하네 
552,    년 시즌초반 기아 경기력보고 다시 찾아오신분들 있나요      
553,이때  회역전당했으면 짐가놈 진심 뒤졌다      
554,어우두 뚝배기 브레이킹
555,      저혈압 치료제
556,대단했다 햄종이 텍사스가서 썰어버려라
557,아 옛날생각난당   
558,나 아직     년에 산다   
559,저때 짐주형 악송구   평생 짐짝 소리  들을뻔 했지 아마 최대  혜택 받고도  못한  짐주형
560,김윤동 짠하다
561,동현아 사랑해
562,똘기태 땜에 재밌었음
563,    년에도 보고있다      
564,롤뱃아침에 부랴부랴 출근준비하고 꽉막힌 도로에서 으으 지겨워 시원하게 뱃하자  
565,이때 초딩이였는데 그때 야구장 갔었는데 마지막에 만루 이범호에서 화장실 갔는데 이범호가 만루홈런 쳐서 만루홈런 못 봄
566,    강 실패 후 타팀 야구도 노잼이라 또 보러왔어 
567,엘지 롯데 한화 니들도 할수 있다는 희망을 가져라     
568,      그라췌  
569,기아는원기옥모아서우승 
570,사랑한다고    
571,오늘    역전된거보고 빡쳐서 정화하러옴
572,이거 걍 헥터  이닝 무실점   구한거  회 올려서  실점 한거 아님  헥터는  차전때 잘 해줌
573,역시 두산은 기아 팬들의 패기에 이길수 없지
574,이랬던 기아가 요즘은   
575,지금이랑 라인업무게봐라     팀이어쩌다이지경이됐지 그래 년에한번우승하는것도어디냐
576,요즘 기아보고 목아파서 오신분   혹시       기아 라고 검색하셨죠    제가 그래요 
577,   아 여기 댓글 다   년인거    기아야   
578,현종아   년도 한번해보자   
579,이명기를 왜보낸거야   하  
580,진짜 이때는 두산 상대도 안되네    
581,버나디나 시즌초때 삽질 하도해서 머하는 새낀가했는데 적응다하더니 치는것마다 장타임    
582,이명기 트레이드는  지금도  이해가  안간다 이명기  볼때마다  아깝다는  생각뿐
583,인생은 한치앞도 모르는게 인생이야  롤뱃 에서 새인생 살아보자    재밋끄등
584,인생은 한치앞도 모르는게 인생이야  롤뱃 에서 새인생 살아보자    재밋끄등
585,인생은 한치앞도 모르는게 인생이야  롤뱃 에서 새인생 살아보자    재밋끄등
586,인생은 한치앞도 모르는게 인생이야  롤뱃 에서 새인생 살아보자    재밋끄등
587,이랬던 기아가 이렇게 빨리추락을    참 한결같이 등신구단  
588,기아 타선 실화 맞냐   소설도 저렇게 쓰면 욕 먹는다  
589,저거 졌으면 징주형 두고두고 사골감인데
590,항상 드는 생각이지만 유지철 진짜 해설 못한다 우승콜도 유지철이여서 너무 가슴아픔 양현종 완봉승이랑 우승이  차전  차전    라 너무 아쉬웠다     정우영이나     한명재였으면 좋았을텐데
591,똑같은 폼에서 패스트볼        을 던지니 휴  
592, 같을때마다 보로 옵니다 그립읍니다
593,기아는 왜 몇 년 뺑이치다가 우주의기운 받고 한번 우승하고 또 뺑이치고 우승하고 왜이러냐     우승 못하는팀들보다는 나은건가
594,아 이명기보고싶다
595,엘지 롯데랑 같이 묶지마라    우린 기아로 바뀐후에도 우승  번했다
596,양현종 도랐느    
597,유희관   잠실에서끝나겟다  진짜끝남   
598,버나디나 무쌍 찍었네   
599,김종국 경질해야함 김태형 계약 가즈아
600,     이거 지금도 스트받을려나요  존에서  개정도빠졌는데
601,크  포수죽이누
602,  년에 우승할듯
603,  년 성범이들어오고 우승기원 들어오세요
604,양현종이 그냥 아예 삼진잡네    
605,쉬어갈 타선이 없네
606,이것들아 이렇게 좀 해보라구  내년엔 몇위할래  꼴찌할 거니  암울하다 증말
607,재밌게  롤 뱃  즐기는법 조아하는 비제이 찾기 뱃 떄리기 너무간단한거아냐    이렇게쉬운대 안한다고  
608,재밌게  롤 뱃  즐기는법 조아하는 비제이 찾기 뱃 떄리기 너무간단한거아냐    이렇게쉬운대 안한다고  
609,재밌게  롤 뱃  즐기는법 조아하는 비제이 찾기 뱃 떄리기 너무간단한거아냐    이렇게쉬운대 안한다고  
610,한국시리즈를   월   일에 하네   
611,  년 들어오신분 소리질리         
612,킹나디나
613,일하기 밥먹기 잠자기 같은걸 하더래도 퀄리티 있게 하장 편하게 돈벌고 맛잇는밥먹고 좋은데서자자롤뱃 
614,일하기 밥먹기 잠자기 같은걸 하더래도 퀄리티 있게 하장 편하게 돈벌고 맛잇는밥먹고 좋은데서자자롤뱃 
615,으아아아아아아아   
616,나 저기에서 결승 봤었는데
617,     뒤에 양현종   아싸 개꿀  
618,근데 도대체 무슨생각으로 이명기랑 이우성이랑 바꾼다는 비상식적인 행동을 할수있지  야구 모르는 우리막내동생도 그런짓은 안하겠다
619,어게인     가자 내년엔    양현종 선수 기아에서 은퇴하실 꺼죠  기다릴게요 에이스 
620,쫄깃 하다 
621, 차전 버나디나 쓰리런 어디갔어
622, 차전 양현종 삼진 몇개함  
623,갸성범 소식 듣고 오신분 기아팬분 손
624,김선빈이  번   
625,갸뽕이 차오른다  
626, 차전 심판 존 문제니까 삭제해야할듯
627,재발  기아  구단장님  양현종  대리고  와주세요
628,     저게 한가운데 룩삼이라고     
629,짐짝 실책할때    내일 선발없는데    생각한사람 
630,안치홍 이범호 이명기   버나
631,개아 식물타선 보고 암걸려서 들어온  인
632,올해는 삼성우승
633, 년전   내년 가능 할까요 
634,보우덴 투구폼 스로잉동작 왜 저러냐   데뷔 초 김민우 보는거같네
635,손인욱  
636,기아 못한다고 욕하지  마라 그래도 우승은 한번씩 하잖아 우승못한지 오래된팀들 겁나다     
637,  년 들어오신분 소리질러    
638,대투수 양현종
639,현종아 외국가서 잘해
640,    년 호랑이의 해 우승
641,  못버리겠다   우승해벌자기냥
642,기이타이거즈  해체하라  동네야구 그만하고  즉시 해체하라   진짜 짜증난다  즉시 해체하라 
643,버나디나가 엄청났네
644,요즘 기아 야구 거지같이 해서 보러 왔습니다
645,어케했누   
646,      범두 시리즈 말아먹고 실실쪼개네                    
647,     
648,불펜은 암덩어리였는데   김윤동 빼고
649,프사가 아름답네요  
650,에휴 내가 삼만번 정도 본듯    좀 해보자   
651,한경기를 양현종이 잡아냄
652,      누구한테물어보는거야     경기사전에 정보력개딸리넼   
653,  년도 이거 보고있는사람 
654,      삼용철 아     주댕이 개패고싶네  해설이라는 인간이
655,    년 들어오신분 소리질러   
656,기아 어웨이 아니냐     홈인줄
657,코시불패 타이거즈
658,    초 크
659,    년에 듣는분 손
660,     뒤에 핑크색 남자분이     
661,기아우승   
662,  박세혁
663,김선빈 실제로 싸가지 자존감 피해의식   안좋타던데     
664,될거다
665,대투수 텍사스에서 방출               승도 못 챙기고 방출됨  
666,  기아      기아하면 누가 이기나요
667,    
668, 차전은 박세혁이  망쳤네        
669,난기아가좋지않지않습니다
670,기아는 감독 바꿔야한다 김종국 똥고집 하나로 말아먹는 경기가 몇개인지 모르겠다    
671,현종아 왜 메이저에 간다까부니  
672,범두 하는거 없네    
673,김강률 저때만해도 기아팬입장에서 구위  무서웟는데  망햇네
674,누구 기아팬이신분 저요
675, 분  초이게 삼진이냐      
676,조금만 잘해요
677,기아로 바뀌고 나서 주기가 생긴건가  우승후    년 쯤 지나고 잊혀질즈음 우승하는
678,개주형 지금쯤 죽었겠지 
679,   꼴등 기념으로온다
680,열받네 김재호시리즈
681,나 차라리 꽉 눌러붙을래   밥 위에 누워자는 프라이 프라이 같이 나른하게 롤뱃
682,나 차라리 꽉 눌러붙을래   밥 위에 누워자는 프라이 프라이 같이 나른하게 롤뱃
683,근데 이거 올려도 되나    
684,      만루에서 누구라고   
685,크보 기아의 마지막 우승
686,로드 버나디나
687,     키야  
688,  년에 들어온사람
689,    년에 들어온 사람 손
690,외우것어요 
691,저는    년에
692,의리좀 빨리바꾸어주셈 어린애 힘들어함 제구력이영 바꿔주는게좋을듯
693,      
694,    년   월 보는 사람 여기 붙어라
695,진짜 야구를 줫같이도 못한다 스트레스 받는다
696,이명기 문경찬 박정수 다음은 누구냐 
697,         
698,삼용철 인간적으로 너무 우울해 하는거 아니냐        보기 흉하네    
699,이거보고 진짜 빡치는게  기아가 스윕다하고 두산한테 두번진게 더빡침      아글고 또빡치는거는 박정수   삼진 했다는데
700,구본경아빠
701,아사
702,범두팬들 어우두 어우두 이   하다 개발리고 아닥한거만 기억나네  
703,이후    년간 우승이 없었다
704,꼴데는 언제 하냐
705,알고리즘 뭐냐이거
706,안녕하세요 저는롯데방송하는사람입니다 앞으로자주공유했으면좋겠습니다 답글좀주세요 
707,중긴계투 장현식내보내면 무조건 지는걸 알면서왜자꾸 내보내는거여 디  답하다 앞으로 장현식내보내면 난무조건 평생 기아경기는 안볼거다 알았나 나만그런게 안니고 다들그렇게 생각하고 있다 알았들었나 정신좀 차리고 야구해라
708,솔직히 말해서 이때 기아가 심판에게 뒷돈 준듯요 볼인데 스트라이크래요 몸쪽 볼인데 스트라이크  바깥쪽 빠지는 볼인데 스트라이크  이때 이 경기 보고 심판 고소할려고 했음
709,잠깐 반짝은 차라리 없는게 나음    괜히 쓸데없는 눈높이만   
710,번동아파트   동   호
711,다시보니까 양의지 때문에 우승 못했다  홈에서 아웃시켰어야지 저때 분위기 싹넘어갔네
712,두          
713,기아 타이거즈는 자성해서 최형우 김선빈 김주찬 팬서비스 없기로 아주 나쁜놈들이다 팬이 있기에 니들이 있는건데 절대 기아는 미래가 앞으로도 없다
714,기아 요듬 준나 못하잖아     
715,편집이 이상함
716,우승  어림도없지 
717,기아가 전라도에요 
718,수비 수준    낮네
719,응 아키야
720,에      
721,
722,전라도
